Pmid	Fbid	Synonym	Paragraph
24945799	FBgn0086917	SPOK	Here, we report a novel role for Ventral veins lacking (Vvl) and Knirps (Kni) in regulating ecdysteroidogenesis in Drosophila. The cis-regulatory elements responsible for PG specific expression of spok, phm and dib contain conserved Vvl and Kni binding sites. Expression of vvl is high in the PG compared to the whole animal, while kni expression is less PG-specific. Knock down of vvl and kni in the PG results in larval developmental arrest due to impaired ecdysone production. We show that Vvl and Kni specifically regulate expression of all the ecdysone biosynthetic enzymes through functionally important regulatory sites. Furthermore, we find that Molting defective (Mld) specifically regulates enzymes that catalyze early steps in the ecdysone biosynthetic pathway. Our study identifies Vvl as a PG cell-specific transcription factor that underlies steroidogenic cell function. We conclude that Vvl and Kni are involved in the transcriptional regulatory network of the PG that coordinates expression of biosynthetic enzymes required for ecdysone production during Drosophila development.
24945799	FBgn0000449	DIB	We analyzed the phm and dib PG specific regulatory elements for transcription factor binding sites. Our in silico search revealed conserved binding sites for the POU-domain transcription factor Vvl and the nuclear receptor Kni in the phm promoter and dib enhancer (Fig. 1A and S1). Analysis of the phm promoter identified one conserved Vvl site and four Kni sites of which three are highly conserved, indicating that they are important regulatory sites. In support of this, mutations disrupting the Vvl site and one of the conserved Kni sites eliminate PG specific GFP reporter expression [20]. In contrast, mutations in the non-conserved Kni binding sites do not reduce PG expression. The third intron dib enhancer also contains one Vvl site and two Kni sites, both in regions that have been conserved. We also identified a 300 bp PG specific promoter for spok, encoding an enzyme that acts at an early step in the ecdysone biosynthetic pathway [9]. This element located −331 to −32 bp upstream of translation start drives specific PG reporter GFP expression. This spok promoter contains three Vvl and three Kni binding sites, although these sites are less conserved compared to the Vvl and Kni sites identified in the phm and dib regulatory elements. Expression of spok has previously been reported to require Molting defective (Mld), a nuclear zinc finger protein [9]. Since the DNA binding sequence motif for Mld has not yet been characterized, we were unable to examine potential Mld binding sites in the spok promoter.
24945799	FBgn0086917	SPOK	We analyzed the phm and dib PG specific regulatory elements for transcription factor binding sites. Our in silico search revealed conserved binding sites for the POU-domain transcription factor Vvl and the nuclear receptor Kni in the phm promoter and dib enhancer (Fig. 1A and S1). Analysis of the phm promoter identified one conserved Vvl site and four Kni sites of which three are highly conserved, indicating that they are important regulatory sites. In support of this, mutations disrupting the Vvl site and one of the conserved Kni sites eliminate PG specific GFP reporter expression [20]. In contrast, mutations in the non-conserved Kni binding sites do not reduce PG expression. The third intron dib enhancer also contains one Vvl site and two Kni sites, both in regions that have been conserved. We also identified a 300 bp PG specific promoter for spok, encoding an enzyme that acts at an early step in the ecdysone biosynthetic pathway [9]. This element located −331 to −32 bp upstream of translation start drives specific PG reporter GFP expression. This spok promoter contains three Vvl and three Kni binding sites, although these sites are less conserved compared to the Vvl and Kni sites identified in the phm and dib regulatory elements. Expression of spok has previously been reported to require Molting defective (Mld), a nuclear zinc finger protein [9]. Since the DNA binding sequence motif for Mld has not yet been characterized, we were unable to examine potential Mld binding sites in the spok promoter.
24945799	FBgn0000568	E75B	If kni and vvl are involved in specifying the gland during embryonic development, reducing their expression may cause a lack of PG cell differentiation. We used a phm>GFP to label and examine the morphology of the PG in L1 larvae 36 hours after egg lay (AEL). PG cell number and morphology of L1 larvae with reduced expression of vvl, kni or mld in the PG were indistinguishable from the phm>+ control (Fig. 2A). This demonstrates that knock down of these factors does not compromise PG cell fate specification and survival. The developmental arrest indicates that loss of vvl and kni in the PG impair the cellular production of ecdysone. We therefore investigated the ecdysone levels in L1 larvae 36 hours AEL by measuring E75B mRNA expression in the whole animal, which has been used as a readout for ecdysone levels [20], [23]. Expression of E75B was significantly reduced in mid-first instar phm>vvl-RNAi and phm>mld-RNAi larvae compared to the control (Fig. 2B). This is consistent with the failure of phm>vvl-RNAi and phm>mld-RNAi larvae to molt to the L2 stage. A portion of larvae with knock down of kni in the PG undergoes the L1–L2 transition, suggesting that some of these animals can produce sufficient ecdysone for the L1–L2 molt. Consistent with this observation, knock down of kni in the PG did not lead to a significant reduction of E75B in the mid-first instar. To demonstrate that the observed phenotypes are a result of decreased ecdysone biosynthesis, we tested if ecdysone supplementation could rescue the developmental arrest. Indeed, animals with reduced expression of vvl, kni or mld in the PG were rescued by the addition of 20E to their food, showing that it is the lack of this hormone that is causing the arrest (Fig. 2A). To confirm this, we measured the ecdysteroid titer, which demonstrates that larvae with reduced expression of vvl, kni or mld in the PG have lower levels of ecdysteroids by the mid-first instar compared with the control (Fig. 2C). Taken together, these results indicate that the transcription factors Vvl and Kni, like Mld, are required for ecdysone biosynthesis in the endocrine cells of PG during early larval development.
24945799	FBgn0086917	SPOK	We next investigated if Vvl and Kni regulate the expression of the genes involved in ecdysone biosynthesis. phm>vvl-RNAi and phm>kni-RNAi larvae showed reduction in the expression of phm, dib and sad by the mid-first instar 36 hours AEL compared to the control (Fig. 3A). Knock down of vvl also reduced expression of sro and spok, encoding enzymes believed to work in early steps in the pathway known as the black box [4], [5], [9]. However, expression of nvd, encoding a PG specific gene involved in the first step in the biosynthetic pathway, was not significantly reduced in the mid-first instar by knock down of vvl or kni in the PG. This further supports the notion that the PG is specified normally during embryogenesis. Previous studies have indicated that mld mutants have reduced ecdysone levels because of a specific lack of spok expression [9], [21]. Our knock down results involving mld-RNAi in the PG support that Mld is required specifically for the expression of spok, but not for the later acting products of phm, dib and sad.
24945799	FBgn0283451	BR-Z4	The data indicate that Vvl and Kni are critical for the steroidogenic activity of the PG during early post-embryonic development. Later during larval development the up-regulation of ecdysone biosynthetic genes and the growth of the gland are required to produce the high-level ecdysone pulse that triggers metamorphosis. To investigate the role of Vvl and Kni during later stages of postembryonic development, we analyzed their expression in third instar (L3) larval ring glands from early (72 hours AEL), mid (96 hours AEL) and late (120 hours AEL) L3 larvae. In wild type larvae, expression of the steroidogenic genes showed no or little increase from the early to mid L3, but a dramatic up-regulation in the late L3 (Fig. 4A), coinciding with the high-level ecdysone peak that triggers pupariation 120 hours AEL [20]. While the expression of vvl showed only a minor increase during the L3 stage, a stronger up-regulation of kni and mld was observed. Compared to both vvl, kni and mld, expression of Br-Z4 was highly up-regulated in the late L3 consistent with its role in the temporal up-regulation of the biosynthetic genes important for the high-level ecdysone pulse 120 hours AEL that triggers pupariation [24]. Considering the tissue-specificity and that vvl expression in the PG shows little relation with the ecdysone titer, it seems likely that Vvl is important for the spatial control of ecdysone biosynthetic gene expression in the PG, but not for the temporal regulation during development. On the other hand, kni expression is less PG specific, but show more correlation with the ecdysone titer during L3.
24945799	FBgn0086680	VVL	Taken together, the data suggest that the coordinated expression of steroidogenic enzymes in the PG requires Vvl and Kni function. To further corroborate our findings that Vvl and Kni are involved in co-regulating all components in the biosynthetic pathway, we examined whether supplementation of any 20E precursors to the larval growth medium was able to rescue the developmental arrest of vvl or kni RNAi larvae. When fed cholesterol, 7-dehydrocholesterol or 5β-ketodiol, most phm>vvl-RNAi and phm>kni-RNAi animals develop to small L2 larvae (Fig. 5A and B). Since phm>vvl-RNAi and phm>kni-RNAi arrest in L1 and L2 without supplementation, it appears that increasing the amount of substrate for ecdysone synthesis provides some compensation, but not complete rescue, when the pathway activity is reduced. Supporting this notion, providing intermediates further downstream in the pathway gradually increased rescue of phm>vvl-RNAi and phm>kni-RNAi larvae to the L3 stage. In particular, 20E and its precursor ecdysone efficiently rescue phm>vvl-RNAi and phm>kni-RNAi larvae to the L3 stage (Fig. 5B).
24945799	FBgn0086917	SPOK	Supplying the 5β-ketodiol and 5β-ketotriol, but not cholesterol or 7-dehydrocholesterol, rescued mld-RNAi larvae (Fig. 5B), consistent with Mld being required for expression of Nvd and Spok which mediate early steps in the pathway upstream of the 5β-ketodiol. We conclude, that Vvl and Kni are necessary for coordinating the tissue-specific expression of all steroidogenic genes in the endocrine cells of the PG, while Mld specifically regulates genes involved in early steps in the pathway responsible for the conversion of cholesterol to the 5β-ketodiol, an intermediate downstream of the black box reaction(s).
24945799	FBgn0024320	NPC1A	Finally, we investigated whether loss of vvl and kni in the PG affects cholesterol substrate delivery for ecdysone synthesis. Surprisingly, we found that, whereas the biosynthetic genes show a strong decrease, npc1a exhibits a dramatic increase in the gland of vvl-RNAi, kni-RNAi and mld-RNAi larvae (Fig. 6D). This finding indicates that up-regulation of npc1a in the PG of vvl-RNAi, kni-RNAi and mld-RNAi larvae reflect a compensatory feedback regulation to maintain cholesterol homeostasis and/or increase substrate delivery to promote steroidogenesis. Down-regulation of biosynthetic activity in vvl-RNAi, kni-RNAi and mld-RNAi larvae reduces cholesterol flux through the ecdysone pathway and may lead to intracellular redistribution of cholesterol to maintain homeostasis through feedback regulation. We therefore explored the possibility that npc1a, which is required for normal cholesterol distribution and availability for steroid synthesis, is controlled by feedback regulation of cholesterol. Expression of npc1a is repressed by cholesterol in wild type larvae (Fig. S4), indicating that npc1a is feedback regulated. Recently, we showed that ecdysone biosynthesis is controlled by feedback circuits in the PG [20]. We therefore also examined whether ecdysone signaling in the gland is affected by knock down vvl, kni or mld. To test this, we measured mRNA levels of the ecdysone receptor (EcR) ring glands isolated from L3 larvae where vvl-RNAi, kni-RNAi or mld-RNAi had been induced in the PG during L2. Transcript levels of EcR were not affected in ring glands from vvl-RNAi and kni-RNAi larvae (Fig. S4), indicating that the responsiveness of the PG to ecdysone is not reduced. Taken together, these results suggest alterations of cholesterol uptake and trafficking in the PG when flow through the biosynthetic pathway is impaired.
24945799	FBgn0086680	VVL	The gap gene kni is known for its role in embryonic segmentation patterning and development of the trachea and wing vein [47]–[51] similar to vvl. Kni is a nuclear receptor with a zinc-finger motif that is unlikely to be ligand activated since it lacks a ligand-binding domain. Our data show that Kni is required for expression of the genes involved in ecdysone biosynthesis in the PG, suggesting that Kni functions as an activator in this situation. Although Kni is generally considered a short-range repressor [52], it is required to activate hairy expression in stripe 6 during embryogenesis [53]. Thus, Kni may act either as a repressor or as an activator in a context-dependent manner. In mammals, nuclear receptors are also key regulators of steroidogenic target genes encoding P450 enzymes [54]–[56].
24945799	FBgn0001168	HAIRY	The gap gene kni is known for its role in embryonic segmentation patterning and development of the trachea and wing vein [47]–[51] similar to vvl. Kni is a nuclear receptor with a zinc-finger motif that is unlikely to be ligand activated since it lacks a ligand-binding domain. Our data show that Kni is required for expression of the genes involved in ecdysone biosynthesis in the PG, suggesting that Kni functions as an activator in this situation. Although Kni is generally considered a short-range repressor [52], it is required to activate hairy expression in stripe 6 during embryogenesis [53]. Thus, Kni may act either as a repressor or as an activator in a context-dependent manner. In mammals, nuclear receptors are also key regulators of steroidogenic target genes encoding P450 enzymes [54]–[56].
24945799	FBgn0001320	KNI	The gap gene kni is known for its role in embryonic segmentation patterning and development of the trachea and wing vein [47]–[51] similar to vvl. Kni is a nuclear receptor with a zinc-finger motif that is unlikely to be ligand activated since it lacks a ligand-binding domain. Our data show that Kni is required for expression of the genes involved in ecdysone biosynthesis in the PG, suggesting that Kni functions as an activator in this situation. Although Kni is generally considered a short-range repressor [52], it is required to activate hairy expression in stripe 6 during embryogenesis [53]. Thus, Kni may act either as a repressor or as an activator in a context-dependent manner. In mammals, nuclear receptors are also key regulators of steroidogenic target genes encoding P450 enzymes [54]–[56].
24945799	FBgn0024320	NPC1A	Interestingly, we observed that loss of vvl, kni or mld results in dramatic increase of npc1a expression in the PG. Npc1a is highly expressed in the PG where it is required for uptake and intracellular trafficking of cholesterol for steroidogeneis [26]. Larvae with loss of npc1a exhibit a punctuate pattern of sterol accumulation in the PG cells, indicating defects in cholesterol transport within the cells. Normally cholesterol is taken up as low density lipoproteins (LDLs) and trafficked within endosomes to the lysosomes where hydrolysis releases free cholesterol that is delivered to the plasma membrane and endoplasmic reticulum (ER) [61] where the first step in the conversion of cholesterol to ecdysone likely takes place. Why is npc1a up-regulated in the PG when ecdysone synthesis and pathway activity is impaired? It seems unlikely that Vvl, Kni and Mld are all involved in repression of npc1a. The block of flux through the biosynthetic pathway in the PG of vvl-RNAi, kni-RNAi and mld-RNAi animals may change intracellular cholesterol pools in the gland and affect feedback regulation to maintain cholesterol homeostasis. Our results indicate that npc1a is regulated by cholesterol suggesting that the up-regulation of npc1a may be part of a feedback regulatory response to changes in cellular cholesterol levels. This may indicate a compensatory mechanism to redistribute cholesterol by increasing storage of cholesterol esters and/or efflux to reduce free cholesterol levels when ecdysone biosynthesis is blocked. Moreover, npc1a is regulated by Br [27], a factor induced by EcR in the PG [20], implying that ncp1a may also be regulated by ecdysone feedback. Our study shows that cholesterol availability is an important parameter for ecdysone biosynthesis. Interactions between cholesterol and ecdysone feedback mechanisms may therefore be important for coordinating the supply cholesterol with the rate of steroidogenesis.
28414802	FBgn0267978	AP	The extensive genetic regulatory flows underlying specification of different neuronal subtypes are not well understood at the molecular level. The Nplp1 neuropeptide neurons in the developing Drosophila nerve cord belong to two sub-classes; Tv1 and dAp neurons, generated by two distinct progenitors. Nplp1 neurons are specified by spatial cues; the Hox homeotic network and GATA factor grn, and temporal cues; the hb -> Kr -> Pdm -> cas -> grh temporal cascade. These spatio-temporal cues combine into two distinct codes; one for Tv1 and one for dAp neurons that activate a common terminal selector feedforward cascade of col -> ap/eya -> dimm -> Nplp1. Here, we molecularly decode the specification of Nplp1 neurons, and find that the cis-regulatory organization of col functions as an integratory node for the different spatio-temporal combinatorial codes. These findings may provide a logical framework for addressing spatio-temporal control of neuronal sub-type specification in other systems.
28414802	FBgn0035092	NPLP1	The extensive genetic regulatory flows underlying specification of different neuronal subtypes are not well understood at the molecular level. The Nplp1 neuropeptide neurons in the developing Drosophila nerve cord belong to two sub-classes; Tv1 and dAp neurons, generated by two distinct progenitors. Nplp1 neurons are specified by spatial cues; the Hox homeotic network and GATA factor grn, and temporal cues; the hb -> Kr -> Pdm -> cas -> grh temporal cascade. These spatio-temporal cues combine into two distinct codes; one for Tv1 and one for dAp neurons that activate a common terminal selector feedforward cascade of col -> ap/eya -> dimm -> Nplp1. Here, we molecularly decode the specification of Nplp1 neurons, and find that the cis-regulatory organization of col functions as an integratory node for the different spatio-temporal combinatorial codes. These findings may provide a logical framework for addressing spatio-temporal control of neuronal sub-type specification in other systems.
28414802	FBgn0267978	AP	To address this issue, we have identified enhancers for Tv and dAp neuron expression for the genes in the common Tv1/dAp FFL: col, ap, eya, dimm and Nplp1. We generated transgenic reporters for these enhancers, both wildtype and mutant for specific transcription factor binding sites, to test their regulation in mutant and misexpression backgrounds. We also used CRISPR/Cas9 technology to delete these enhancers in their normal genomic location to test their necessity for gene regulation. Strikingly, we find that the distinct upstream spatio-temporal combinatorial codes, which trigger col expression in Tv1 versus dAp neurons, converge onto different enhancer elements in the col gene. Hence, the col Tv1 neuron enhancer is triggered by Antp, hth, exd, lbe and cas, while the dAp enhancer is triggered by Kr, pdm and grn. In contrast to this subset-specific enhancer set-up for col activation, the subsequent, col-driven Nplp1 FFL feeds onto common enhancers in each downstream gene. These findings reveal that distinct spatio-temporal cues, acting in different neural progenitors, can trigger the same FFL by converging on discrete enhancer elements in an initiator terminal selector, to thereby dictate the same ultimate neuronal subtype cell fate.
28414802	FBgn0035092	NPLP1	To address this issue, we have identified enhancers for Tv and dAp neuron expression for the genes in the common Tv1/dAp FFL: col, ap, eya, dimm and Nplp1. We generated transgenic reporters for these enhancers, both wildtype and mutant for specific transcription factor binding sites, to test their regulation in mutant and misexpression backgrounds. We also used CRISPR/Cas9 technology to delete these enhancers in their normal genomic location to test their necessity for gene regulation. Strikingly, we find that the distinct upstream spatio-temporal combinatorial codes, which trigger col expression in Tv1 versus dAp neurons, converge onto different enhancer elements in the col gene. Hence, the col Tv1 neuron enhancer is triggered by Antp, hth, exd, lbe and cas, while the dAp enhancer is triggered by Kr, pdm and grn. In contrast to this subset-specific enhancer set-up for col activation, the subsequent, col-driven Nplp1 FFL feeds onto common enhancers in each downstream gene. These findings reveal that distinct spatio-temporal cues, acting in different neural progenitors, can trigger the same FFL by converging on discrete enhancer elements in an initiator terminal selector, to thereby dictate the same ultimate neuronal subtype cell fate.
28414802	FBgn0023091	DIMM	To address this issue, we have identified enhancers for Tv and dAp neuron expression for the genes in the common Tv1/dAp FFL: col, ap, eya, dimm and Nplp1. We generated transgenic reporters for these enhancers, both wildtype and mutant for specific transcription factor binding sites, to test their regulation in mutant and misexpression backgrounds. We also used CRISPR/Cas9 technology to delete these enhancers in their normal genomic location to test their necessity for gene regulation. Strikingly, we find that the distinct upstream spatio-temporal combinatorial codes, which trigger col expression in Tv1 versus dAp neurons, converge onto different enhancer elements in the col gene. Hence, the col Tv1 neuron enhancer is triggered by Antp, hth, exd, lbe and cas, while the dAp enhancer is triggered by Kr, pdm and grn. In contrast to this subset-specific enhancer set-up for col activation, the subsequent, col-driven Nplp1 FFL feeds onto common enhancers in each downstream gene. These findings reveal that distinct spatio-temporal cues, acting in different neural progenitors, can trigger the same FFL by converging on discrete enhancer elements in an initiator terminal selector, to thereby dictate the same ultimate neuronal subtype cell fate.
28414802	FBgn0035092	NPLP1	The Ap neurons constitute a set of interneurons in the Drosophila VNC, out of which the thoracic lateral Tv1 neurons and the dorso-medial dAp neurons express the Nplp1 neuropeptide (Fig 1A) [6, 17, 19]. Tv1 neurons are generated by NB5-6T, while dAp neurons arise from NB4-3 [6, 21]. Activation of Nplp1 in Tv1 and dAp neurons is controlled by a shared coherent FFL, consisting of col, ap, eya and dimm, where col is both necessary and sufficient to trigger the FFL [6, 21]. In contrast, this common FFL is triggered by two different upstream spatio-temporal combinatorial codes, acting in the two different NBs. In NB5-6T this includes the temporal gene castor (cas), the Hox homeotic gene Antennapedia (Antp), the two Hox co-factor genes homothorax (hth) and extradenticle (exd), as well as the homeobox gene ladybird early (lbe). In NB4-3, this includes the temporal genes Kruppel (Kr) and pdm2/nub (pdm), as well as the GATA gene grain (grn), (Fig 1B) [20–22].
28414802	FBgn0267978	AP	To identify the cell-specific cis-regulatory modules (CRMs) that act as enhancers for the five genes in the dAp/Tv1 FFL, we analyzed expression of a number of transgenic lines generated in previous studies [17, 23, 24], as well as an eya-CRM-Gal4 transgene (provided by T. Lian and D.W. Allan; S1 Fig). This resulted in identification of fragments capable of driving reporter gene expression in the Tv1 and dAp neurons. To facilitate mutagenesis of CRMs, we attempted to identify smaller genomic fragments that retained appropriate activity. This resulted in the identification of smaller (1–2 kilobases) CRMs for all genes with the exception of col, where larger fragments were required for proper expression (Fig 1C–1S, S1 Fig, S1 Data). Strikingly, we found that while one enhancer region was sufficient to recapitulate Tv1 and dAp expression of ap, eya, dimm and eya, for col we identified two distinct enhancers, one each for expression in dAp or Tv1 neurons (Fig 1C–1E and 1T).
28414802	FBgn0000320	EYA	To identify the cell-specific cis-regulatory modules (CRMs) that act as enhancers for the five genes in the dAp/Tv1 FFL, we analyzed expression of a number of transgenic lines generated in previous studies [17, 23, 24], as well as an eya-CRM-Gal4 transgene (provided by T. Lian and D.W. Allan; S1 Fig). This resulted in identification of fragments capable of driving reporter gene expression in the Tv1 and dAp neurons. To facilitate mutagenesis of CRMs, we attempted to identify smaller genomic fragments that retained appropriate activity. This resulted in the identification of smaller (1–2 kilobases) CRMs for all genes with the exception of col, where larger fragments were required for proper expression (Fig 1C–1S, S1 Fig, S1 Data). Strikingly, we found that while one enhancer region was sufficient to recapitulate Tv1 and dAp expression of ap, eya, dimm and eya, for col we identified two distinct enhancers, one each for expression in dAp or Tv1 neurons (Fig 1C–1E and 1T).
